Parts/Designator,MPN/Seeed SKU,Qty,Value
"C1,C2,C3,C101",302010024,4,CC0402KRX7R8BB104
C102,302020015,1,TAJB107M010#NJ
C103,302010103,1,CC0603KRX5R6BB106
C4,302010138,1,CC0603KRX7R9BB104
C5,302010183,1,GRM31CR60J107ME39L
"CT1,CT2,CT3",HV470M035E055ETR,3,47uF 35V
D1,304020021,1,SS54B
"D102,D104",304020032,2,SS0520-7-F
D103,304090042,1,19-217-R6C-AL1M2VY-3T
"D2,D3",304040016,2,1N4148 
"D4,D5,D6,D101",304990003,4,WS2812 clone RGB LED
IC1,31K2950,1,SPI I/O expander http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf
"J1,J6,J11",320020017,3,Black 2x4P 2.54mm
"J2,J101",320110033,2,GROVE 4PIN
J12,320090008,1,SD Card 
"J13,J14,J15",320020027,3,1x4P P125-1203A0BS116A2
"J3,J7,J9",320030087,3,DIP-BLACK-FEMALE-HEADER(2X4P-2.54)
J4 ,320120003,1,DC-005 Power JaCK
J5,320110028,1,Terminal Header Green 2P 3.5mm
J6 ,320110033,1,HW4-2.0
"J8,J10",320110049,2,JST 2.0
"JP3,JP6,JP7",320020027,3,1x2P P125-1203A0BS116A2
Q1,SI4435DDY-T1-GE3,1,CJ4435 MOSFET
Q2,305010018,1,SMD-TRANSISTORS-NPN-25V-500MA-S9013(SOT-23)
"R1,R2",RC0603JR-0739RL,2,39R 1/10W
"R3,R4,JMP1,JMP101",301010292,4,0R 1/10W
"R5,R10,R101",301010293,3,10K 1/10W
"R6,R102",301010291,2,1K 1/10W
R7,301011975,1,100K 1/10W
"R8,R9",301010033,2,100K 1/16W
SW101,DHT-4235A,1,SMD-BUTTON-TOP-DHT-4235A(4P-4.2X3.2MM)
